,Ticket ID,Subject,Description,Status,Priority,Created,Assigned To
0,IT-12345,Can't access company intranet,"I'm unable to access the company intranet. I've tried restarting my computer and clearing my browser cache, but nothing seems to work. I'm using Chrome on Windows 10.",Open,High,2023-03-15T10:00:00Z,John Doe
1,IT-54321,Printer not working,"My printer is not printing. I've tried restarting it and checking the paper tray, but it's still not working. It's a HP LaserJet Pro MFP M281fdw.",Open,Medium,2023-03-15T11:30:00Z,Jane Smith
2,IT-98765,Email not sending,"I'm unable to send emails. I've tried restarting my email client and checking my internet connection, but nothing seems to work. I'm using Outlook on Windows 11.",Open,High,2023-03-15T14:15:00Z,John Doe
3,IT-11111,Password reset,"I forgot my password and need to reset it. I've tried the password reset process, but I'm not receiving the email with the reset link.",Open,Medium,2023-03-16T09:00:00Z,Jane Smith
4,IT-22222,Laptop screen flickering,"My laptop screen is flickering. It's a Dell XPS 13 and it's been happening for a few days now. I've tried updating the drivers, but it's still flickering.",Open,High,2023-03-16T10:30:00Z,John Doe
5,IT-33333,Internet connection issues,"My internet connection is very slow. I've tried restarting my router and modem, but it's still slow. I'm using a Spectrum internet connection.",Open,Medium,2023-03-16T11:45:00Z,Jane Smith
6,IT-44444,Software installation error,"I'm trying to install a new software, but I'm getting an error message. I've tried restarting my computer and running the installer as administrator, but it's still not working.",Open,Medium,2023-03-16T13:00:00Z,John Doe
7,IT-55555,Lost my company laptop,I lost my company laptop. It's a Lenovo ThinkPad T480. I've already reported it to security.,Open,High,2023-03-16T14:15:00Z,Jane Smith
8,IT-66666,Can't access shared drive,"I'm unable to access the shared drive. I've tried restarting my computer and checking my network connection, but nothing seems to work.",Open,Medium,2023-03-17T09:00:00Z,John Doe
9,IT-77777,Mouse not working,"My mouse is not working. I've tried restarting my computer and plugging it into a different USB port, but it's still not working.",Open,Low,2023-03-17T10:30:00Z,Jane Smith
10,IT-88888,Keyboard not typing correctly,"My keyboard is not typing correctly. Some keys are not working and others are typing the wrong characters. I've tried restarting my computer and cleaning the keyboard, but it's still not working.",Open,Medium,2023-03-17T11:45:00Z,John Doe
11,IT-99999,Unable to join meeting,"I'm unable to join a meeting. I've tried restarting my computer and checking my internet connection, but nothing seems to work. I'm using Zoom on a Mac.",Open,High,2023-03-17T13:00:00Z,Jane Smith
12,IT-00000,New employee onboarding,I need to set up a new employee's account and provide them with access to the necessary resources. Please provide me with the necessary information and instructions.,Open,High,2023-03-17T14:15:00Z,John Doe
13,IT-12121,System slow performance,"My computer is running very slowly. I've tried restarting it and closing unnecessary programs, but it's still slow. I'm using a Windows 10 computer.",Open,Medium,2023-03-18T09:00:00Z,Jane Smith
14,IT-23232,Unable to access website,"I'm unable to access a specific website. I've tried clearing my browser cache and restarting my computer, but it's still not working. I'm using Firefox on a Linux machine.",Open,Medium,2023-03-18T10:30:00Z,John Doe
15,IT-34343,File sharing issues,"I'm unable to share files with my colleagues. I've tried checking my network connection and restarting my computer, but it's still not working. I'm using a Google Drive account.",Open,Medium,2023-03-18T11:45:00Z,Jane Smith
16,IT-45454,Application crashing,"An application keeps crashing. I've tried restarting my computer and reinstalling the application, but it's still crashing. I'm using a Microsoft Office application on a Windows 11 computer.",Open,Medium,2023-03-18T13:00:00Z,John Doe
17,IT-56565,Lost my company phone,I lost my company phone. It's an iPhone 13 Pro. I've already reported it to security.,Open,High,2023-03-18T14:15:00Z,Jane Smith
18,IT-67676,Unable to connect to Wi-Fi,"I'm unable to connect to the company Wi-Fi. I've tried restarting my computer and forgetting the network, but it's still not working.",Open,Medium,2023-03-19T09:00:00Z,John Doe
19,IT-78787,Need help with a new software,"I'm trying to use a new software, but I'm not sure how to use it. Can someone please help me with the basics?",Open,Low,2023-03-19T10:30:00Z,Jane Smith
